transaction_id,week_start,region,state,city,store_id,product_id,product_name,category,brand,promotion_name,promotion_type,promotion_active,units_sold,revenue,discount_amount,inventory_before,inventory_after,customer_rating
100036,2026-01-05,North,Punjab,Ludhiana,STR104,P113,Surf Excel 1kg,Household,Unilever,,,False,52,7324.24,0.0,933,881,4.0
100037,2026-01-05,North,Punjab,Ludhiana,STR104,P118,Real Mixed Fruit Juice 1L,Soft Drinks,Dabur,,,False,26,2606.59,0.0,979,953,3.8
100038,2026-01-05,North,Punjab,Ludhiana,STR104,P115,Vim Dishwash Bar,Household,Unilever,,,False,85,1675.78,0.0,552,467,4.1
100039,2026-01-05,North,Punjab,Ludhiana,STR104,P104,Lay's Classic 52g,Snacks,PepsiCo,,,False,92,1804.76,0.0,854,762,4.3
100040,2026-01-05,North,Punjab,Ludhiana,STR104,P101,Coca Cola 500ml,Soft Drinks,Coca Cola,,,False,80,3176.7,0.0,527,447,4.2
100041,2026-01-05,North,Punjab,Ludhiana,STR104,P114,Harpic 500ml,Household,Reckitt,,,False,33,3232.6,0.0,614,581,4.4
100042,2026-01-05,North,Punjab,Ludhiana,STR104,P111,Colgate Toothpaste 150g,Personal Care,Colgate,,,False,66,5520.62,0.0,624,558,4.4
100043,2026-01-05,North,Punjab,Ludhiana,STR104,P108,Amul Milk 1L,Dairy,Amul,,,False,104,6974.55,0.0,619,515,4.4
100044,2026-01-05,North,Punjab,Ludhiana,STR104,P109,Nestle Milkmaid 400g,Dairy,Nestle,,,False,46,4376.3,0.0,989,943,4.3
100045,2026-01-05,North,Punjab,Ludhiana,STR104,P120,Cadbury Dairy Milk 55g,Snacks,Mondelez,,,False,113,5037.5,0.0,530,417,4.3
100046,2026-01-05,North,Punjab,Ludhiana,STR104,P106,Haldiram's Bhujia 200g,Snacks,Haldiram's,,,False,53,3158.06,0.0,569,516,4.4
100047,2026-01-05,North,Punjab,Ludhiana,STR104,P119,Bisleri Water 1L,Soft Drinks,Bisleri,,,False,122,2443.46,0.0,980,858,4.2
100048,2026-01-05,North,Punjab,Ludhiana,STR104,P105,Kurkure Masala 55g,Snacks,PepsiCo,,,False,113,2281.23,0.0,924,811,3.9
100049,2026-01-05,North,Punjab,Ludhiana,STR104,P110,Dove Soap 100g,Personal Care,Unilever,,,False,56,3030.12,0.0,810,754,4.5
100050,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P117,Britannia Good Day 100g,Snacks,Britannia,,,False,85,2578.83,0.0,967,882,4.2
100051,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P107,Amul Butter 100g,Dairy,Amul,,,False,93,4858.47,0.0,583,490,4.8
100052,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P102,Sprite 500ml,Soft Drinks,Coca Cola,,,False,65,2631.12,0.0,585,520,4.3
100053,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P111,Colgate Toothpaste 150g,Personal Care,Colgate,,,False,57,4765.1,0.0,744,687,4.3
100054,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P120,Cadbury Dairy Milk 55g,Snacks,Mondelez,,,False,101,4592.73,0.0,828,727,4.6
100055,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P118,Real Mixed Fruit Juice 1L,Soft Drinks,Dabur,,,False,22,2216.0,0.0,777,755,4.0
100056,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P112,Head & Shoulders 340ml,Personal Care,P&G,,,False,39,8183.24,0.0,718,679,4.1
100057,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P108,Amul Milk 1L,Dairy,Amul,,,False,177,11845.8,0.0,938,761,4.2
100058,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P104,Lay's Classic 52g,Snacks,PepsiCo,,,False,122,2435.95,0.0,818,696,4.2
100059,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P115,Vim Dishwash Bar,Household,Unilever,,,False,71,1448.23,0.0,522,451,3.9
100060,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P114,Harpic 500ml,Household,Reckitt,,,False,49,4928.04,0.0,939,890,4.3
100061,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P113,Surf Excel 1kg,Household,Unilever,,,False,52,7399.58,0.0,644,592,4.3
100062,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P105,Kurkure Masala 55g,Snacks,PepsiCo,,,False,82,1622.85,0.0,828,746,3.7
100063,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P101,Coca Cola 500ml,Soft Drinks,Coca Cola,,,False,85,3426.94,0.0,909,824,4.2
100064,2026-01-05,North,Uttar Pradesh,Lucknow,STR105,P109,Nestle Milkmaid 400g,Dairy,Nestle,,,False,35,3371.7,0.0,918,883,4.2
100065,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P106,Haldiram's Bhujia 200g,Snacks,Haldiram's,,,False,44,2652.28,0.0,502,458,4.4
100066,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P101,Coca Cola 500ml,Soft Drinks,Coca Cola,,,False,60,2446.08,0.0,521,461,4.1
100067,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P104,Lay's Classic 52g,Snacks,PepsiCo,,,False,102,2076.4,0.0,770,668,4.1
100068,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P107,Amul Butter 100g,Dairy,Amul,,,False,90,4681.56,0.0,650,560,4.7
100069,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P120,Cadbury Dairy Milk 55g,Snacks,Mondelez,,,False,71,3170.04,0.0,807,736,4.6
100070,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P102,Sprite 500ml,Soft Drinks,Coca Cola,,,False,54,2167.63,0.0,713,659,3.9
100071,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P110,Dove Soap 100g,Personal Care,Unilever,,,False,43,2371.85,0.0,675,632,4.3
100072,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P118,Real Mixed Fruit Juice 1L,Soft Drinks,Dabur,,,False,23,2281.48,0.0,782,759,3.8
100073,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P112,Head & Shoulders 340ml,Personal Care,P&G,,,False,24,5117.9,0.0,564,540,4.1
100074,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P115,Vim Dishwash Bar,Household,Unilever,,,False,54,1079.75,0.0,960,906,4.1
100075,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P119,Bisleri Water 1L,Soft Drinks,Bisleri,,,False,61,1211.91,0.0,743,682,4.2
100076,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P113,Surf Excel 1kg,Household,Unilever,Weekend Flash Sale,Flat Discount,True,39,4907.93,469.01,913,874,3.9
100077,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P103,Pepsi 500ml,Soft Drinks,PepsiCo,,,False,72,2901.62,0.0,572,500,4.0
100078,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P111,Colgate Toothpaste 150g,Personal Care,Colgate,Clearance Offer,BOGO,True,60,3462.97,1705.64,604,544,4.5
100079,2026-01-05,North,Uttar Pradesh,Lucknow,STR106,P105,Kurkure Masala 55g,Snacks,PepsiCo,,,False,79,1553.46,0.0,917,838,4.1
100080,2026-01-05,North,Uttar Pradesh,Agra,STR107,P112,Head & Shoulders 340ml,Personal Care,P&G,,,False,34,7063.7,0.0,734,700,4.2
100081,2026-01-05,North,Uttar Pradesh,Agra,STR107,P110,Dove Soap 100g,Personal Care,Unilever,,,False,63,3429.47,0.0,920,857,4.4
100082,2026-01-05,North,Uttar Pradesh,Agra,STR107,P106,Haldiram's Bhujia 200g,Snacks,Haldiram's,,,False,67,3998.55,0.0,921,854,4.5
100083,2026-01-05,North,Uttar Pradesh,Agra,STR107,P102,Sprite 500ml,Soft Drinks,Coca Cola,,,False,64,2596.05,0.0,684,620,4.1
100084,2026-01-05,North,Uttar Pradesh,Agra,STR107,P116,Maggi Noodles 70g,Snacks,Nestle,,,False,161,2256.83,0.0,752,591,4.4
100085,2026-01-05,North,Uttar Pradesh,Agra,STR107,P118,Real Mixed Fruit Juice 1L,Soft Drinks,Dabur,,,False,33,3245.94,0.0,658,625,4.0
100086,2026-01-05,North,Uttar Pradesh,Agra,STR107,P113,Surf Excel 1kg,Household,Unilever,,,False,56,7685.49,0.0,595,539,4.3
100087,2026-01-05,North,Uttar Pradesh,Agra,STR107,P115,Vim Dishwash Bar,Household,Unilever,,,False,77,1564.84,0.0,757,680,3.8
100088,2026-01-05,North,Uttar Pradesh,Agra,STR107,P109,Nestle Milkmaid 400g,Dairy,Nestle,,,False,32,3032.71,0.0,860,828,4.2
100089,2026-01-05,North,Uttar Pradesh,Agra,STR107,P103,Pepsi 500ml,Soft Drinks,PepsiCo,,,False,82,3259.86,0.0,502,420,3.8
100090,2026-01-05,North,Uttar Pradesh,Agra,STR107,P114,Harpic 500ml,Household,Reckitt,,,False,55,5457.08,0.0,561,506,4.1
100091,2026-01-05,North,Uttar Pradesh,Agra,STR107,P105,Kurkure Masala 55g,Snacks,PepsiCo,,,False,89,1792.48,0.0,881,792,4.2
100092,2026-01-05,North,Uttar Pradesh,Agra,STR107,P104,Lay's Classic 52g,Snacks,PepsiCo,,,False,139,2750.48,0.0,856,717,4.5
100093,2026-01-05,North,Uttar Pradesh,Agra,STR107,P117,Britannia Good Day 100g,Snacks,Britannia,Festive Combo,Flat Discount,True,109,3118.08,174.37,627,518,4.0
100094,2026-01-05,North,Uttar Pradesh,Agra,STR107,P101,Coca Cola 500ml,Soft Drinks,Coca Cola,,,False,77,3067.3,0.0,618,541,4.2
100095,2026-01-05,North,Uttar Pradesh,Agra,STR108,P112,Head & Shoulders 340ml,Personal Care,P&G,,,False,21,4464.23,0.0,766,745,4.1
100096,2026-01-05,North,Uttar Pradesh,Agra,STR108,P101,Coca Cola 500ml,Soft Drinks,Coca Cola,,,False,81,3226.05,0.0,999,918,4.1
100097,2026-01-05,North,Uttar Pradesh,Agra,STR108,P109,Nestle Milkmaid 400g,Dairy,Nestle,,,False,31,2909.89,0.0,777,746,4.2
100098,2026-01-05,North,Uttar Pradesh,Agra,STR108,P113,Surf Excel 1kg,Household,Unilever,,,False,48,6787.73,0.0,508,460,4.2
100099,2026-01-05,North,Uttar Pradesh,Agra,STR108,P107,Amul Butter 100g,Dairy,Amul,,,False,65,3435.31,0.0,653,588,4.2
100100,2026-01-05,North,Uttar Pradesh,Agra,STR108,P118,Real Mixed Fruit Juice 1L,Soft Drinks,Dabur,,,False,25,2457.43,0.0,764,739,4.1
100101,2026-01-05,North,Uttar Pradesh,Agra,STR108,P106,Haldiram's Bhujia 200g,Snacks,Haldiram's,,,False,59,3580.19,0.0,817,758,4.5
100102,2026-01-05,North,Uttar Pradesh,Agra,STR108,P116,Maggi Noodles 70g,Snacks,Nestle,,,False,179,2512.23,0.0,719,540,4.7
100103,2026-01-05,North,Uttar Pradesh,Agra,STR108,P105,Kurkure Masala 55g,Snacks,PepsiCo,,,False,94,1845.1,0.0,969,875,4.0
100104,2026-01-05,North,Uttar Pradesh,Agra,STR108,P104,Lay's Classic 52g,Snacks,PepsiCo,,,False,71,1420.91,0.0,979,908,4.5
100105,2026-01-05,North,Uttar Pradesh,Agra,STR108,P117,Britannia Good Day 100g,Snacks,Britannia,,,False,68,2056.17,0.0,724,656,4.4
100106,2026-01-05,North,Uttar Pradesh,Agra,STR108,P120,Cadbury Dairy Milk 55g,Snacks,Mondelez,,,False,103,4636.51,0.0,603,500,4.4
100107,2026-01-05,North,Uttar Pradesh,Agra,STR108,P102,Sprite 500ml,Soft Drinks,Coca Cola,,,False,52,2058.57,0.0,957,905,4.0
100108,2026-01-05,North,Uttar Pradesh,Agra,STR108,P103,Pepsi 500ml,Soft Drinks,PepsiCo,,,False,74,2955.36,0.0,739,665,4.1
100109,2026-01-05,South,Karnataka,Bangalore,STR109,P120,Cadbury Dairy Milk 55g,Snacks,Mondelez,,,False,113,5021.6,0.0,908,795,4.4
100110,2026-01-05,South,Karnataka,Bangalore,STR109,P118,Real Mixed Fruit Juice 1L,Soft Drinks,Dabur,,,False,36,3613.82,0.0,515,479,4.0
100111,2026-01-05,South,Karnataka,Bangalore,STR109,P109,Nestle Milkmaid 400g,Dairy,Nestle,,,False,36,3468.63,0.0,645,609,4.3
100112,2026-01-05,South,Karnataka,Bangalore,STR109,P114,Harpic 500ml,Household,Reckitt,,,False,54,5409.98,0.0,627,573,4.3
100113,2026-01-05,South,Karnataka,Bangalore,STR109,P106,Haldiram's Bhujia 200g,Snacks,Haldiram's,,,False,52,3061.32,0.0,867,815,4.4
100114,2026-01-05,South,Karnataka,Bangalore,STR109,P101,Coca Cola 500ml,Soft Drinks,Coca Cola,,,False,88,3494.26,0.0,673,585,4.2
100115,2026-01-05,South,Karnataka,Bangalore,STR109,P104,Lay's Classic 52g,Snacks,PepsiCo,,,False,112,2210.7,0.0,897,785,4.1
100116,2026-01-05,South,Karnataka,Bangalore,STR109,P112,Head & Shoulders 340ml,Personal Care,P&G,Clearance Offer,Flat Discount,True,40,7884.79,527.37,996,956,4.0
100117,2026-01-05,South,Karnataka,Bangalore,STR109,P102,Sprite 500ml,Soft Drinks,Coca Cola,,,False,69,2778.06,0.0,988,919,4.1
100118,2026-01-05,South,Karnataka,Bangalore,STR109,P103,Pepsi 500ml,Soft Drinks,PepsiCo,,,False,91,3656.13,0.0,918,827,3.8
100119,2026-01-05,South,Karnataka,Bangalore,STR109,P115,Vim Dishwash Bar,Household,Unilever,,,False,81,1636.75,0.0,858,777,4.0
100120,2026-01-05,South,Karnataka,Bangalore,STR109,P119,Bisleri Water 1L,Soft Drinks,Bisleri,Festive Combo,Percentage Discount,True,125,2263.46,226.04,898,773,4.2
100121,2026-01-05,South,Karnataka,Bangalore,STR110,P116,Maggi Noodles 70g,Snacks,Nestle,,,False,138,1963.88,0.0,621,483,4.2
100122,2026-01-05,South,Karnataka,Bangalore,STR110,P109,Nestle Milkmaid 400g,Dairy,Nestle,,,False,30,2877.56,0.0,606,576,3.9
100123,2026-01-05,South,Karnataka,Bangalore,STR110,P104,Lay's Classic 52g,Snacks,PepsiCo,,,False,114,2243.51,0.0,501,387,4.6
100124,2026-01-05,South,Karnataka,Bangalore,STR110,P107,Amul Butter 100g,Dairy,Amul,,,False,57,3009.95,0.0,602,545,4.6
100125,2026-01-05,South,Karnataka,Bangalore,STR110,P105,Kurkure Masala 55g,Snacks,PepsiCo,,,False,78,1566.35,0.0,787,709,4.0
100126,2026-01-05,South,Karnataka,Bangalore,STR110,P101,Coca Cola 500ml,Soft Drinks,Coca Cola,,,False,61,2407.1,0.0,967,906,4.3
100127,2026-01-05,South,Karnataka,Bangalore,STR110,P120,Cadbury Dairy Milk 55g,Snacks,Mondelez,,,False,74,3363.77,0.0,792,718,4.5
100128,2026-01-05,South,Karnataka,Bangalore,STR110,P103,Pepsi 500ml,Soft Drinks,PepsiCo,,,False,54,2139.22,0.0,940,886,4.0
100129,2026-01-05,South,Karnataka,Bangalore,STR110,P119,Bisleri Water 1L,Soft Drinks,Bisleri,,,False,98,1929.48,0.0,617,519,4.1
100130,2026-01-05,South,Karnataka,Bangalore,STR110,P117,Britannia Good Day 100g,Snacks,Britannia,,,False,64,1904.98,0.0,626,562,4.2
100131,2026-01-05,South,Karnataka,Bangalore,STR110,P113,Surf Excel 1kg,Household,Unilever,,,False,40,5525.03,0.0,540,500,4.3
100132,2026-01-05,South,Karnataka,Bangalore,STR110,P108,Amul Milk 1L,Dairy,Amul,,,False,133,8732.79,0.0,626,493,4.6
100133,2026-01-05,South,Karnataka,Bangalore,STR110,P118,Real Mixed Fruit Juice 1L,Soft Drinks,Dabur,,,False,19,1907.07,0.0,808,789,4.1
100134,2026-01-05,South,Karnataka,Mysore,STR111,P103,Pepsi 500ml,Soft Drinks,PepsiCo,,,False,51,2019.47,0.0,724,673,3.7
100135,2026-01-05,South,Karnataka,Mysore,STR111,P108,Amul Milk 1L,Dairy,Amul,,,False,116,7661.41,0.0,641,525,4.5
100136,2026-01-05,South,Karnataka,Mysore,STR111,P113,Surf Excel 1kg,Household,Unilever,,,False,35,4988.64,0.0,745,710,4.5
100137,2026-01-05,South,Karnataka,Mysore,STR111,P109,Nestle Milkmaid 400g,Dairy,Nestle,,,False,36,3386.24,0.0,937,901,4.4
100138,2026-01-05,South,Karnataka,Mysore,STR111,P101,Coca Cola 500ml,Soft Drinks,Coca Cola,,,False,82,3266.94,0.0,515,433,4.1
100139,2026-01-05,South,Karnataka,Mysore,STR111,P110,Dove Soap 100g,Personal Care,Unilever,,,False,53,2911.36,0.0,919,866,4.5
100140,2026-01-05,South,Karnataka,Mysore,STR111,P119,Bisleri Water 1L,Soft Drinks,Bisleri,,,False,85,1708.34,0.0,576,491,4.1
100141,2026-01-05,South,Karnataka,Mysore,STR111,P105,Kurkure Masala 55g,Snacks,PepsiCo,,,False,105,2111.68,0.0,876,771,3.9
100142,2026-01-05,South,Karnataka,Mysore,STR111,P104,Lay's Classic 52g,Snacks,PepsiCo,,,False,87,1715.8,0.0,501,414,4.3
100143,2026-01-05,South,Karnataka,Mysore,STR111,P102,Sprite 500ml,Soft Drinks,Coca Cola,,,False,49,1956.95,0.0,651,602,3.9
100144,2026-01-05,South,Karnataka,Mysore,STR111,P116,Maggi Noodles 70g,Snacks,Nestle,,,False,126,1776.57,0.0,829,703,4.6
100145,2026-01-05,South,Karnataka,Mysore,STR111,P117,Britannia Good Day 100g,Snacks,Britannia,,,False,76,2324.85,0.0,726,650,4.2
100146,2026-01-05,South,Karnataka,Mysore,STR112,P116,Maggi Noodles 70g,Snacks,Nestle,,,False,206,2891.13,0.0,651,445,4.6
100147,2026-01-05,South,Karnataka,Mysore,STR112,P119,Bisleri Water 1L,Soft Drinks,Bisleri,,,False,120,2384.87,0.0,848,728,4.2
100148,2026-01-05,South,Karnataka,Mysore,STR112,P104,Lay's Classic 52g,Snacks,PepsiCo,,,False,114,2294.86,0.0,704,590,4.4
100149,2026-01-05,South,Karnataka,Mysore,STR112,P101,Coca Cola 500ml,Soft Drinks,Coca Cola,,,False,95,3761.5,0.0,956,861,4.2
100150,2026-01-05,South,Karnataka,Mysore,STR112,P110,Dove Soap 100g,Personal Care,Unilever,,,False,57,3186.45,0.0,833,776,4.5
100151,2026-01-05,South,Karnataka,Mysore,STR112,P118,Real Mixed Fruit Juice 1L,Soft Drinks,Dabur,,,False,47,4607.42,0.0,653,606,4.2
100152,2026-01-05,South,Karnataka,Mysore,STR112,P108,Amul Milk 1L,Dairy,Amul,,,False,176,11569.56,0.0,812,636,4.5
100153,2026-01-05,South,Karnataka,Mysore,STR112,P107,Amul Butter 100g,Dairy,Amul,,,False,89,4626.12,0.0,721,632,4.5
100154,2026-01-05,South,Karnataka,Mysore,STR112,P112,Head & Shoulders 340ml,Personal Care,P&G,,,False,28,5818.9,0.0,816,788,4.1
100155,2026-01-05,South,Karnataka,Mysore,STR112,P109,Nestle Milkmaid 400g,Dairy,Nestle,,,False,39,3663.33,0.0,828,789,4.5
100156,2026-01-05,South,Karnataka,Mysore,STR112,P115,Vim Dishwash Bar,Household,Unilever,Festive Combo,Percentage Discount,True,71,1210.93,187.24,668,597,4.0
100157,2026-01-05,South,Karnataka,Mysore,STR112,P102,Sprite 500ml,Soft Drinks,Coca Cola,,,False,71,2853.59,0.0,938,867,4.3
100158,2026-01-05,South,Karnataka,Mysore,STR112,P120,Cadbury Dairy Milk 55g,Snacks,Mondelez,,,False,106,4843.43,0.0,966,860,4.5
100159,2026-01-05,South,Karnataka,Mysore,STR112,P111,Colgate Toothpaste 150g,Personal Care,Colgate,,,False,58,4940.29,0.0,621,563,4.3
100160,2026-01-05,South,Tamil Nadu,Chennai,STR113,P105,Kurkure Masala 55g,Snacks,PepsiCo,,,False,101,2038.41,0.0,826,725,4.2
100161,2026-01-05,South,Tamil Nadu,Chennai,STR113,P119,Bisleri Water 1L,Soft Drinks,Bisleri,,,False,93,1872.82,0.0,881,788,4.2
100162,2026-01-05,South,Tamil Nadu,Chennai,STR113,P102,Sprite 500ml,Soft Drinks,Coca Cola,,,False,63,2545.08,0.0,676,613,4.1
100163,2026-01-05,South,Tamil Nadu,Chennai,STR113,P104,Lay's Classic 52g,Snacks,PepsiCo,,,False,85,1702.3,0.0,640,555,4.4
100164,2026-01-05,South,Tamil Nadu,Chennai,STR113,P120,Cadbury Dairy Milk 55g,Snacks,Mondelez,,,False,86,3893.57,0.0,533,447,4.9
100165,2026-01-05,South,Tamil Nadu,Chennai,STR113,P117,Britannia Good Day 100g,Snacks,Britannia,,,False,83,2493.88,0.0,727,644,4.5
100166,2026-01-05,South,Tamil Nadu,Chennai,STR113,P111,Colgate Toothpaste 150g,Personal Care,Colgate,,,False,54,4590.77,0.0,909,855,4.2
100167,2026-01-05,South,Tamil Nadu,Chennai,STR113,P106,Haldiram's Bhujia 200g,Snacks,Haldiram's,,,False,44,2666.56,0.0,980,936,4.5
100168,2026-01-05,South,Tamil Nadu,Chennai,STR113,P113,Surf Excel 1kg,Household,Unilever,,,False,49,6994.56,0.0,559,510,4.3
100169,2026-01-05,South,Tamil Nadu,Chennai,STR113,P114,Harpic 500ml,Household,Reckitt,,,False,39,3934.45,0.0,977,938,4.0
100170,2026-01-05,South,Tamil Nadu,Chennai,STR113,P103,Pepsi 500ml,Soft Drinks,PepsiCo,,,False,53,2125.63,0.0,936,883,3.9
100171,2026-01-05,South,Tamil Nadu,Chennai,STR113,P101,Coca Cola 500ml,Soft Drinks,Coca Cola,,,False,53,2128.61,0.0,686,633,4.2
100172,2026-01-05,South,Tamil Nadu,Chennai,STR113,P108,Amul Milk 1L,Dairy,Amul,,,False,131,8606.36,0.0,743,612,4.6
100173,2026-01-05,South,Tamil Nadu,Chennai,STR113,P116,Maggi Noodles 70g,Snacks,Nestle,,,False,145,1994.77,0.0,681,536,4.3
100174,2026-01-05,South,Tamil Nadu,Chennai,STR114,P101,Coca Cola 500ml,Soft Drinks,Coca Cola,,,False,111,4435.75,0.0,947,836,4.2
100175,2026-01-05,South,Tamil Nadu,Chennai,STR114,P102,Sprite 500ml,Soft Drinks,Coca Cola,,,False,64,2578.38,0.0,513,449,3.9
